Beach,Image,Results,Seal Conf Lvl,Clump Conf Lvl,Overlap,Clump Threshold,Ground Truth,Median Prop Diff
LN,DJI_0781,132.64,30,30,20,5,50,1.6527999999999998
LN,DJI_0781,238.27999999999997,30,30,20,6,50,3.7655999999999996
LN,DJI_0781,129.64,32,30,20,5,50,1.5927999999999998
LN,DJI_0781,235.27999999999997,32,30,20,6,50,3.7055999999999996
LN,DJI_0781,127.63999999999999,34,30,20,5,50,1.5527999999999997
LN,DJI_0781,233.27999999999997,34,30,20,6,50,3.6655999999999995
LN,DJI_0781,127.63999999999999,36,30,20,5,50,1.5527999999999997
LN,DJI_0781,233.27999999999997,36,30,20,6,50,3.6655999999999995
LN,DJI_0781,127.63999999999999,38,30,20,5,50,1.5527999999999997
LN,DJI_0781,233.27999999999997,38,30,20,6,50,3.6655999999999995
LN,DJI_0781,124.63999999999999,40,30,20,5,50,1.4927999999999997
LN,DJI_0781,230.27999999999997,40,30,20,6,50,3.6055999999999995
LN,DJI_0781,129.31,30,32,20,5,50,1.5862
LN,DJI_0781,231.62,30,32,20,6,50,3.6324
LN,DJI_0781,126.30999999999999,32,32,20,5,50,1.5261999999999998
LN,DJI_0781,228.61999999999998,32,32,20,6,50,3.5723999999999996
LN,DJI_0781,124.30999999999999,34,32,20,5,50,1.4861999999999997
LN,DJI_0781,226.61999999999998,34,32,20,6,50,3.5323999999999995
LN,DJI_0781,124.30999999999999,36,32,20,5,50,1.4861999999999997
LN,DJI_0781,226.61999999999998,36,32,20,6,50,3.5323999999999995
LN,DJI_0781,124.30999999999999,38,32,20,5,50,1.4861999999999997
LN,DJI_0781,226.61999999999998,38,32,20,6,50,3.5323999999999995
LN,DJI_0781,121.30999999999999,40,32,20,5,50,1.4261999999999997
LN,DJI_0781,223.61999999999998,40,32,20,6,50,3.4723999999999995
LN,DJI_0781,125.74,30,34,20,5,50,1.5148
LN,DJI_0781,223.48,30,34,20,6,50,3.4696
LN,DJI_0781,122.74,32,34,20,5,50,1.4547999999999999
LN,DJI_0781,220.48,32,34,20,6,50,3.4095999999999997
LN,DJI_0781,120.74,34,34,20,5,50,1.4147999999999998
LN,DJI_0781,218.48,34,34,20,6,50,3.3695999999999997
LN,DJI_0781,120.74,36,34,20,5,50,1.4147999999999998
LN,DJI_0781,218.48,36,34,20,6,50,3.3695999999999997
LN,DJI_0781,120.74,38,34,20,5,50,1.4147999999999998
LN,DJI_0781,218.48,38,34,20,6,50,3.3695999999999997
LN,DJI_0781,117.74,40,34,20,5,50,1.3548
LN,DJI_0781,215.48,40,34,20,6,50,3.3095999999999997
LN,DJI_0781,123.86,30,36,20,5,50,1.4772
LN,DJI_0781,219.72,30,36,20,6,50,3.3944
LN,DJI_0781,120.86,32,36,20,5,50,1.4172
LN,DJI_0781,216.72,32,36,20,6,50,3.3344
LN,DJI_0781,118.86,34,36,20,5,50,1.3772
LN,DJI_0781,214.72,34,36,20,6,50,3.2944
LN,DJI_0781,118.86,36,36,20,5,50,1.3772
LN,DJI_0781,214.72,36,36,20,6,50,3.2944
LN,DJI_0781,118.86,38,36,20,5,50,1.3772
LN,DJI_0781,214.72,38,36,20,6,50,3.2944
LN,DJI_0781,115.86,40,36,20,5,50,1.3172
LN,DJI_0781,211.72,40,36,20,6,50,3.2344
LN,DJI_0781,123.86,30,38,20,5,50,1.4772
LN,DJI_0781,219.72,30,38,20,6,50,3.3944
LN,DJI_0781,120.86,32,38,20,5,50,1.4172
LN,DJI_0781,216.72,32,38,20,6,50,3.3344
LN,DJI_0781,118.86,34,38,20,5,50,1.3772
LN,DJI_0781,214.72,34,38,20,6,50,3.2944
LN,DJI_0781,118.86,36,38,20,5,50,1.3772
LN,DJI_0781,214.72,36,38,20,6,50,3.2944
LN,DJI_0781,118.86,38,38,20,5,50,1.3772
LN,DJI_0781,214.72,38,38,20,6,50,3.2944
LN,DJI_0781,115.86,40,38,20,5,50,1.3172
LN,DJI_0781,211.72,40,38,20,6,50,3.2344
LN,DJI_0781,113.5,30,40,20,5,50,1.27
LN,DJI_0781,195.0,30,40,20,6,50,2.9
LN,DJI_0781,109.5,32,40,20,5,50,1.19
LN,DJI_0781,191.0,32,40,20,6,50,2.82
LN,DJI_0781,106.5,34,40,20,5,50,1.13
LN,DJI_0781,188.0,34,40,20,6,50,2.76
LN,DJI_0781,106.5,36,40,20,5,50,1.13
LN,DJI_0781,188.0,36,40,20,6,50,2.76
LN,DJI_0781,106.5,38,40,20,5,50,1.13
LN,DJI_0781,188.0,38,40,20,6,50,2.76
LN,DJI_0781,103.5,40,40,20,5,50,1.07
LN,DJI_0781,185.0,40,40,20,6,50,2.7
LN,DJI_0781,132.64,30,30,21,5,50,1.6527999999999998
LN,DJI_0781,238.27999999999997,30,30,21,6,50,3.7655999999999996
LN,DJI_0781,129.64,32,30,21,5,50,1.5927999999999998
LN,DJI_0781,235.27999999999997,32,30,21,6,50,3.7055999999999996
LN,DJI_0781,127.63999999999999,34,30,21,5,50,1.5527999999999997
LN,DJI_0781,233.27999999999997,34,30,21,6,50,3.6655999999999995
LN,DJI_0781,127.63999999999999,36,30,21,5,50,1.5527999999999997
LN,DJI_0781,233.27999999999997,36,30,21,6,50,3.6655999999999995
LN,DJI_0781,127.63999999999999,38,30,21,5,50,1.5527999999999997
LN,DJI_0781,233.27999999999997,38,30,21,6,50,3.6655999999999995
LN,DJI_0781,124.63999999999999,40,30,21,5,50,1.4927999999999997
LN,DJI_0781,230.27999999999997,40,30,21,6,50,3.6055999999999995
LN,DJI_0781,129.31,30,32,21,5,50,1.5862
LN,DJI_0781,231.62,30,32,21,6,50,3.6324
LN,DJI_0781,126.30999999999999,32,32,21,5,50,1.5261999999999998
LN,DJI_0781,228.61999999999998,32,32,21,6,50,3.5723999999999996
LN,DJI_0781,124.30999999999999,34,32,21,5,50,1.4861999999999997
LN,DJI_0781,226.61999999999998,34,32,21,6,50,3.5323999999999995
LN,DJI_0781,124.30999999999999,36,32,21,5,50,1.4861999999999997
LN,DJI_0781,226.61999999999998,36,32,21,6,50,3.5323999999999995
LN,DJI_0781,124.30999999999999,38,32,21,5,50,1.4861999999999997
LN,DJI_0781,226.61999999999998,38,32,21,6,50,3.5323999999999995
LN,DJI_0781,121.30999999999999,40,32,21,5,50,1.4261999999999997
LN,DJI_0781,223.61999999999998,40,32,21,6,50,3.4723999999999995
LN,DJI_0781,125.74,30,34,21,5,50,1.5148
LN,DJI_0781,223.48,30,34,21,6,50,3.4696
LN,DJI_0781,122.74,32,34,21,5,50,1.4547999999999999
LN,DJI_0781,220.48,32,34,21,6,50,3.4095999999999997
LN,DJI_0781,120.74,34,34,21,5,50,1.4147999999999998
LN,DJI_0781,218.48,34,34,21,6,50,3.3695999999999997
LN,DJI_0781,120.74,36,34,21,5,50,1.4147999999999998
LN,DJI_0781,218.48,36,34,21,6,50,3.3695999999999997
LN,DJI_0781,120.74,38,34,21,5,50,1.4147999999999998
LN,DJI_0781,218.48,38,34,21,6,50,3.3695999999999997
LN,DJI_0781,117.74,40,34,21,5,50,1.3548
LN,DJI_0781,215.48,40,34,21,6,50,3.3095999999999997
LN,DJI_0781,123.86,30,36,21,5,50,1.4772
LN,DJI_0781,219.72,30,36,21,6,50,3.3944
LN,DJI_0781,120.86,32,36,21,5,50,1.4172
LN,DJI_0781,216.72,32,36,21,6,50,3.3344
LN,DJI_0781,118.86,34,36,21,5,50,1.3772
LN,DJI_0781,214.72,34,36,21,6,50,3.2944
LN,DJI_0781,118.86,36,36,21,5,50,1.3772
LN,DJI_0781,214.72,36,36,21,6,50,3.2944
LN,DJI_0781,118.86,38,36,21,5,50,1.3772
LN,DJI_0781,214.72,38,36,21,6,50,3.2944
LN,DJI_0781,115.86,40,36,21,5,50,1.3172
LN,DJI_0781,211.72,40,36,21,6,50,3.2344
LN,DJI_0781,123.86,30,38,21,5,50,1.4772
LN,DJI_0781,219.72,30,38,21,6,50,3.3944
LN,DJI_0781,120.86,32,38,21,5,50,1.4172
LN,DJI_0781,216.72,32,38,21,6,50,3.3344
LN,DJI_0781,118.86,34,38,21,5,50,1.3772
LN,DJI_0781,214.72,34,38,21,6,50,3.2944
LN,DJI_0781,118.86,36,38,21,5,50,1.3772
LN,DJI_0781,214.72,36,38,21,6,50,3.2944
LN,DJI_0781,118.86,38,38,21,5,50,1.3772
LN,DJI_0781,214.72,38,38,21,6,50,3.2944
LN,DJI_0781,115.86,40,38,21,5,50,1.3172
LN,DJI_0781,211.72,40,38,21,6,50,3.2344
LN,DJI_0781,113.5,30,40,21,5,50,1.27
LN,DJI_0781,195.0,30,40,21,6,50,2.9
LN,DJI_0781,109.5,32,40,21,5,50,1.19
LN,DJI_0781,191.0,32,40,21,6,50,2.82
LN,DJI_0781,106.5,34,40,21,5,50,1.13
LN,DJI_0781,188.0,34,40,21,6,50,2.76
LN,DJI_0781,106.5,36,40,21,5,50,1.13
LN,DJI_0781,188.0,36,40,21,6,50,2.76
LN,DJI_0781,106.5,38,40,21,5,50,1.13
LN,DJI_0781,188.0,38,40,21,6,50,2.76
LN,DJI_0781,103.5,40,40,21,5,50,1.07
LN,DJI_0781,185.0,40,40,21,6,50,2.7
LN,DJI_0783,31.34,30,30,20,5,9,2.482222222222222
LN,DJI_0783,53.68,30,30,20,6,9,4.964444444444444
LN,DJI_0783,31.34,32,30,20,5,9,2.482222222222222
LN,DJI_0783,53.68,32,30,20,6,9,4.964444444444444
LN,DJI_0783,31.34,34,30,20,5,9,2.482222222222222
LN,DJI_0783,53.68,34,30,20,6,9,4.964444444444444
LN,DJI_0783,30.34,36,30,20,5,9,2.371111111111111
LN,DJI_0783,52.68,36,30,20,6,9,4.8533333333333335
LN,DJI_0783,30.34,38,30,20,5,9,2.371111111111111
LN,DJI_0783,52.68,38,30,20,6,9,4.8533333333333335
LN,DJI_0783,29.34,40,30,20,5,9,2.26
LN,DJI_0783,51.68,40,30,20,6,9,4.742222222222222
LN,DJI_0783,31.34,30,32,20,5,9,2.482222222222222
LN,DJI_0783,53.68,30,32,20,6,9,4.964444444444444
LN,DJI_0783,31.34,32,32,20,5,9,2.482222222222222
LN,DJI_0783,53.68,32,32,20,6,9,4.964444444444444
LN,DJI_0783,31.34,34,32,20,5,9,2.482222222222222
LN,DJI_0783,53.68,34,32,20,6,9,4.964444444444444
LN,DJI_0783,30.34,36,32,20,5,9,2.371111111111111
LN,DJI_0783,52.68,36,32,20,6,9,4.8533333333333335
LN,DJI_0783,30.34,38,32,20,5,9,2.371111111111111
LN,DJI_0783,52.68,38,32,20,6,9,4.8533333333333335
LN,DJI_0783,29.34,40,32,20,5,9,2.26
LN,DJI_0783,51.68,40,32,20,6,9,4.742222222222222
LN,DJI_0783,29.32,30,34,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,34,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,20,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,34,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,34,20,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,20,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,34,20,5,9,2.035555555555556
LN,DJI_0783,27.32,40,34,20,6,9,2.035555555555556
LN,DJI_0783,29.32,30,36,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,36,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,20,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,20,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,20,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,36,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,36,20,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,20,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,20,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,36,20,5,9,2.035555555555556
LN,DJI_0783,27.32,40,36,20,6,9,2.035555555555556
LN,DJI_0783,11.0,30,38,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,38,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,20,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,38,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,38,20,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,20,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,38,20,5,9,0.0
LN,DJI_0783,9.0,40,38,20,6,9,0.0
LN,DJI_0783,11.0,30,40,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,40,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,20,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,20,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,20,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,40,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,40,20,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,20,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,20,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,40,20,5,9,0.0
LN,DJI_0783,9.0,40,40,20,6,9,0.0
LN,DJI_0783,31.34,30,30,21,5,9,2.482222222222222
LN,DJI_0783,53.68,30,30,21,6,9,4.964444444444444
LN,DJI_0783,31.34,32,30,21,5,9,2.482222222222222
LN,DJI_0783,53.68,32,30,21,6,9,4.964444444444444
LN,DJI_0783,31.34,34,30,21,5,9,2.482222222222222
LN,DJI_0783,53.68,34,30,21,6,9,4.964444444444444
LN,DJI_0783,30.34,36,30,21,5,9,2.371111111111111
LN,DJI_0783,52.68,36,30,21,6,9,4.8533333333333335
LN,DJI_0783,30.34,38,30,21,5,9,2.371111111111111
LN,DJI_0783,52.68,38,30,21,6,9,4.8533333333333335
LN,DJI_0783,29.34,40,30,21,5,9,2.26
LN,DJI_0783,51.68,40,30,21,6,9,4.742222222222222
LN,DJI_0783,31.34,30,32,21,5,9,2.482222222222222
LN,DJI_0783,53.68,30,32,21,6,9,4.964444444444444
LN,DJI_0783,31.34,32,32,21,5,9,2.482222222222222
LN,DJI_0783,53.68,32,32,21,6,9,4.964444444444444
LN,DJI_0783,31.34,34,32,21,5,9,2.482222222222222
LN,DJI_0783,53.68,34,32,21,6,9,4.964444444444444
LN,DJI_0783,30.34,36,32,21,5,9,2.371111111111111
LN,DJI_0783,52.68,36,32,21,6,9,4.8533333333333335
LN,DJI_0783,30.34,38,32,21,5,9,2.371111111111111
LN,DJI_0783,52.68,38,32,21,6,9,4.8533333333333335
LN,DJI_0783,29.34,40,32,21,5,9,2.26
LN,DJI_0783,51.68,40,32,21,6,9,4.742222222222222
LN,DJI_0783,29.32,30,34,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,34,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,34,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,34,21,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,34,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,34,21,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,34,21,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,34,21,5,9,2.035555555555556
LN,DJI_0783,27.32,40,34,21,6,9,2.035555555555556
LN,DJI_0783,29.32,30,36,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,30,36,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,32,36,21,6,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,21,5,9,2.2577777777777777
LN,DJI_0783,29.32,34,36,21,6,9,2.2577777777777777
LN,DJI_0783,28.32,36,36,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,36,36,21,6,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,21,5,9,2.1466666666666665
LN,DJI_0783,28.32,38,36,21,6,9,2.1466666666666665
LN,DJI_0783,27.32,40,36,21,5,9,2.035555555555556
LN,DJI_0783,27.32,40,36,21,6,9,2.035555555555556
LN,DJI_0783,11.0,30,38,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,38,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,38,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,38,21,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,38,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,38,21,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,38,21,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,38,21,5,9,0.0
LN,DJI_0783,9.0,40,38,21,6,9,0.0
LN,DJI_0783,11.0,30,40,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,30,40,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,32,40,21,6,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,21,5,9,0.2222222222222222
LN,DJI_0783,11.0,34,40,21,6,9,0.2222222222222222
LN,DJI_0783,10.0,36,40,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,36,40,21,6,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,21,5,9,0.1111111111111111
LN,DJI_0783,10.0,38,40,21,6,9,0.1111111111111111
LN,DJI_0783,9.0,40,40,21,5,9,0.0
LN,DJI_0783,9.0,40,40,21,6,9,0.0
LN,DJI_0786,3.0,30,30,20,5,3,0.0
LN,DJI_0786,3.0,30,30,20,6,3,0.0
LN,DJI_0786,3.0,32,30,20,5,3,0.0
LN,DJI_0786,3.0,32,30,20,6,3,0.0
LN,DJI_0786,3.0,34,30,20,5,3,0.0
LN,DJI_0786,3.0,34,30,20,6,3,0.0
LN,DJI_0786,2.0,36,30,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,30,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,30,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,30,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,32,20,5,3,0.0
LN,DJI_0786,3.0,30,32,20,6,3,0.0
LN,DJI_0786,3.0,32,32,20,5,3,0.0
LN,DJI_0786,3.0,32,32,20,6,3,0.0
LN,DJI_0786,3.0,34,32,20,5,3,0.0
LN,DJI_0786,3.0,34,32,20,6,3,0.0
LN,DJI_0786,2.0,36,32,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,32,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,32,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,32,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,34,20,5,3,0.0
LN,DJI_0786,3.0,30,34,20,6,3,0.0
LN,DJI_0786,3.0,32,34,20,5,3,0.0
LN,DJI_0786,3.0,32,34,20,6,3,0.0
LN,DJI_0786,3.0,34,34,20,5,3,0.0
LN,DJI_0786,3.0,34,34,20,6,3,0.0
LN,DJI_0786,2.0,36,34,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,34,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,34,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,34,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,36,20,5,3,0.0
LN,DJI_0786,3.0,30,36,20,6,3,0.0
LN,DJI_0786,3.0,32,36,20,5,3,0.0
LN,DJI_0786,3.0,32,36,20,6,3,0.0
LN,DJI_0786,3.0,34,36,20,5,3,0.0
LN,DJI_0786,3.0,34,36,20,6,3,0.0
LN,DJI_0786,2.0,36,36,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,36,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,36,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,36,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,38,20,5,3,0.0
LN,DJI_0786,3.0,30,38,20,6,3,0.0
LN,DJI_0786,3.0,32,38,20,5,3,0.0
LN,DJI_0786,3.0,32,38,20,6,3,0.0
LN,DJI_0786,3.0,34,38,20,5,3,0.0
LN,DJI_0786,3.0,34,38,20,6,3,0.0
LN,DJI_0786,2.0,36,38,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,38,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,38,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,38,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,20,6,3,0.6666666666666666
LN,DJI_0786,5.0,30,40,20,5,3,0.6666666666666666
LN,DJI_0786,5.0,30,40,20,6,3,0.6666666666666666
LN,DJI_0786,5.0,32,40,20,5,3,0.6666666666666666
LN,DJI_0786,5.0,32,40,20,6,3,0.6666666666666666
LN,DJI_0786,5.0,34,40,20,5,3,0.6666666666666666
LN,DJI_0786,5.0,34,40,20,6,3,0.6666666666666666
LN,DJI_0786,4.0,36,40,20,5,3,0.3333333333333333
LN,DJI_0786,4.0,36,40,20,6,3,0.3333333333333333
LN,DJI_0786,3.0,38,40,20,5,3,0.0
LN,DJI_0786,3.0,38,40,20,6,3,0.0
LN,DJI_0786,3.0,40,40,20,5,3,0.0
LN,DJI_0786,3.0,40,40,20,6,3,0.0
LN,DJI_0786,3.0,30,30,21,5,3,0.0
LN,DJI_0786,3.0,30,30,21,6,3,0.0
LN,DJI_0786,3.0,32,30,21,5,3,0.0
LN,DJI_0786,3.0,32,30,21,6,3,0.0
LN,DJI_0786,3.0,34,30,21,5,3,0.0
LN,DJI_0786,3.0,34,30,21,6,3,0.0
LN,DJI_0786,2.0,36,30,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,30,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,30,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,30,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,32,21,5,3,0.0
LN,DJI_0786,3.0,30,32,21,6,3,0.0
LN,DJI_0786,3.0,32,32,21,5,3,0.0
LN,DJI_0786,3.0,32,32,21,6,3,0.0
LN,DJI_0786,3.0,34,32,21,5,3,0.0
LN,DJI_0786,3.0,34,32,21,6,3,0.0
LN,DJI_0786,2.0,36,32,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,32,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,32,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,32,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,34,21,5,3,0.0
LN,DJI_0786,3.0,30,34,21,6,3,0.0
LN,DJI_0786,3.0,32,34,21,5,3,0.0
LN,DJI_0786,3.0,32,34,21,6,3,0.0
LN,DJI_0786,3.0,34,34,21,5,3,0.0
LN,DJI_0786,3.0,34,34,21,6,3,0.0
LN,DJI_0786,2.0,36,34,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,34,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,34,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,34,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,36,21,5,3,0.0
LN,DJI_0786,3.0,30,36,21,6,3,0.0
LN,DJI_0786,3.0,32,36,21,5,3,0.0
LN,DJI_0786,3.0,32,36,21,6,3,0.0
LN,DJI_0786,3.0,34,36,21,5,3,0.0
LN,DJI_0786,3.0,34,36,21,6,3,0.0
LN,DJI_0786,2.0,36,36,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,36,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,36,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,36,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,38,21,5,3,0.0
LN,DJI_0786,3.0,30,38,21,6,3,0.0
LN,DJI_0786,3.0,32,38,21,5,3,0.0
LN,DJI_0786,3.0,32,38,21,6,3,0.0
LN,DJI_0786,3.0,34,38,21,5,3,0.0
LN,DJI_0786,3.0,34,38,21,6,3,0.0
LN,DJI_0786,2.0,36,38,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,38,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,38,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,38,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,21,6,3,0.6666666666666666
